provider_id,hospital_name,state_x,BPCI Initiative: Model 1,BPCI Initiative: Model 2,BPCI Initiative: Model 3,BPCI Initiative: Model 4,Community-based Care Transitions Program,Frontier Community Health Integration Project Demonstration,Graduate Nurse Education Demonstration,Medicaid Emergency Psychiatric Demonstration,Next Generation ACO Model,Pioneer ACO Model
140062,palos community hospital,IL,0,1,0,0,0,0,0,0,0,0
140114,swedish covenant hospital,IL,0,1,0,0,0,0,0,0,0,0
140119,rush university medical center,IL,0,0,0,0,0,0,1,0,0,0
140130,northwestern lake forest hospital,IL,0,1,0,0,0,0,0,0,0,0
140158,mercy hospital and medical center,IL,0,1,0,0,0,0,0,0,0,0
140184,heartland regional medical center,IL,0,1,0,0,0,0,0,0,0,0
140185,memorial hospital,IL,0,1,0,0,0,0,0,0,0,0
140200,elmhurst memorial hospital,IL,0,1,0,0,0,0,0,0,0,0
140209,methodist medical center of illinois,IL,0,1,0,0,0,0,0,0,0,0
140231,edward hospital,IL,0,1,0,0,0,0,0,0,0,0
140276,loyola university medical center,IL,0,1,0,0,0,0,0,0,0,0
140281,northwestern memorial hospital,IL,0,1,0,0,0,0,0,0,0,0
160153,mercy medical center-sioux city,IA,0,1,0,0,0,0,0,0,0,0
170183,kansas surgery & recovery center,KS,1,0,0,0,0,0,0,0,0,0
190064,our lady of the lake regional medical center,LA,0,1,0,0,0,0,0,0,0,0
220010,lawrence general hospital,MA,0,1,0,0,0,0,0,0,0,0
220063,lowell general hospital,MA,0,1,0,0,0,0,0,0,0,0
220077,baystate medical center,MA,0,1,0,0,0,0,0,0,0,0
230017,bronson methodist hospital,MI,0,0,0,1,0,0,0,0,0,0
230117,borgess medical center,MI,0,1,0,0,0,0,0,0,0,0
240056,ridgeview medical center,MN,0,1,0,0,0,0,0,0,0,0
260108,missouri baptist medical center,MO,0,1,0,0,0,0,0,0,0,0
290021,valley hospital medical center,NV,0,1,0,0,0,0,0,0,0,0
290022,desert springs hospital,NV,0,1,0,0,0,0,0,0,0,0
290054,centennial hills hospital medical center,NV,0,1,0,0,0,0,0,0,0,0
300018,wentworth-douglass hospital,NH,0,1,0,0,0,0,0,0,0,0
310001,hackensack university medical center,NJ,0,1,0,0,0,0,0,0,0,0
310005,hunterdon medical center,NJ,0,1,0,0,0,0,0,0,0,0
310008,holy name medical center,NJ,0,1,0,0,0,0,0,0,0,0
310019,st joseph's regional medical center,NJ,0,1,0,0,0,0,0,0,0,0
310029,our lady of lourdes medical center,NJ,0,1,0,0,0,0,0,0,0,0
310073,jersey shore university medical center,NJ,0,0,0,1,0,0,0,0,0,0
310074,jersey city medical center,NJ,0,1,0,0,0,0,0,0,0,0
330003,albany memorial hospital,NY,0,1,0,0,0,0,0,0,0,0
330024,mount sinai hospital,NY,0,1,0,0,0,0,0,0,0,0
330045,huntington hospital,NY,0,1,0,0,0,0,0,0,0,0
330059,montefiore medical center,NY,0,1,0,0,0,0,0,0,0,0
330090,arnot ogden medical center,NY,0,1,0,0,0,0,0,0,0,0
330119,lenox hill hospital,NY,0,1,0,0,0,0,0,0,0,0
330167,winthrop-university hospital,NY,0,1,0,0,0,0,0,0,0,0
330180,samaritan hospital,NY,0,1,0,0,0,0,0,0,0,0
330197,canton-potsdam hospital,NY,0,1,0,0,0,0,0,0,0,0
330198,south nassau communities hospital,NY,0,1,0,0,0,0,0,0,0,0
330277,corning hospital,NY,0,1,0,0,0,0,0,0,0,0
330285,strong memorial hospital,NY,0,1,0,0,0,0,0,0,0,0
340015,novant health rowan medical center,NC,0,1,0,0,0,0,0,0,0,0
340030,duke university hospital,NC,0,0,0,0,0,0,1,0,0,0
340053,novant health presbyterian medical center,NC,0,1,0,0,0,0,0,0,0,0
340085,novant health thomasville medical center,NC,0,1,0,0,0,0,0,0,0,0
340158,novant health brunswick medical center,NC,0,1,0,0,0,0,0,0,0,0
340171,novant health matthews medical center,NC,0,1,0,0,0,0,0,0,0,0
340183,novant health huntersville medical center,NC,0,1,0,0,0,0,0,0,0,0
360006,riverside methodist hospital,OH,0,1,0,0,0,0,0,0,0,0
360027,akron general medical center,OH,0,1,0,0,0,0,0,0,0,0
360041,parma community general hospital,OH,0,1,0,0,0,0,0,0,0,0
360077,fairview hospital,OH,0,1,0,0,0,0,0,0,0,0
360082,euclid hospital,OH,0,1,0,0,0,0,0,0,0,0
360084,aultman hospital,OH,0,1,0,0,0,0,0,0,0,0
360085,ohio state university hospitals,OH,0,1,0,0,0,0,0,0,0,0
360087,lutheran hospital,OH,0,1,0,0,0,0,0,0,0,0
360091,medina hospital,OH,0,1,0,0,0,0,0,0,0,0
360098,lake health,OH,0,1,0,0,0,0,0,0,0,0
360143,marymount hospital,OH,0,1,0,0,0,0,0,0,0,0
360144,south pointe hospital,OH,0,1,0,0,0,0,0,0,0,0
360155,southwest general health center,OH,0,1,0,0,0,0,0,0,0,0
360230,hillcrest hospital,OH,0,1,0,0,0,0,0,0,0,0
360266,mount carmel new albany surgical hospital,OH,0,1,0,0,0,0,0,0,0,0
390006,geisinger medical center,PA,0,1,0,0,0,0,0,0,0,0
390057,grand view hospital,PA,0,1,0,0,0,0,0,0,0,0
390076,brandywine hospital,PA,0,1,0,0,0,0,0,0,0,0
390079,robert packer hospital,PA,0,1,0,0,0,0,0,0,0,0
390100,lancaster general hospital,PA,0,0,0,1,0,0,0,0,0,0
390119,moses taylor hospital,PA,0,1,0,0,0,0,0,0,0,0
390123,pottstown memorial medical center,PA,0,1,0,0,0,0,0,0,0,0
390127,phoenixville hospital,PA,0,1,0,0,0,0,0,0,0,0
390137,wilkes-barre general hospital,PA,0,1,0,0,0,0,0,0,0,0
390156,mercy fitzgerald hospital,PA,0,1,0,0,0,0,0,0,0,0
390203,doylestown hospital,PA,0,1,0,0,0,0,0,0,0,0
390204,nazareth hospital,PA,0,1,0,0,0,0,0,0,0,0
390223,penn presbyterian medical center,PA,0,1,0,0,0,0,0,0,0,0
390226,pennsylvania hospital,PA,0,1,0,0,0,0,0,0,0,0
390231,abington memorial hospital,PA,0,1,0,0,0,0,0,0,0,0
390237,regional hospital of scranton,PA,0,1,0,0,0,0,0,0,0,0
410006,newport hospital,RI,0,1,0,0,0,0,0,0,0,0
410007,rhode island hospital,RI,0,1,0,0,0,0,0,0,0,0
420007,spartanburg medical center,SC,0,1,0,0,0,0,0,0,0,0
420033,ghs greer memorial hospital,SC,0,1,0,0,0,0,0,0,0,0
420078,ghs greenville memorial hospital,SC,0,1,0,0,0,0,0,0,0,0
420102,ghs patewood memorial hospital,SC,0,1,0,0,0,0,0,0,0,0
420103,pelham medical center,SC,0,1,0,0,0,0,0,0,0,0
430016,avera mckennan hospital & university health center,SD,0,1,0,0,0,0,0,0,0,0
430077,rapid city regional hospital,SD,0,1,0,0,0,0,0,0,0,0
440039,vanderbilt university medical center,TN,0,1,0,0,0,0,0,0,0,0
440063,johnson city medical center,TN,0,1,0,0,0,0,0,0,0,0
440176,indian path medical center,TN,0,1,0,0,0,0,0,0,0,0
450051,methodist dallas medical center,TX,0,1,0,0,0,0,0,0,0,0
450058,baptist medical center,TX,0,1,0,0,0,0,0,0,0,0
450097,bayshore medical center,TX,0,1,0,0,0,0,0,0,0,0
450617,clear lake regional medical center,TX,0,1,0,0,0,0,0,0,0,0
450634,denton regional medical center,TX,0,1,0,0,0,0,0,0,0,0
450647,medical city dallas hospital,TX,0,1,0,0,0,0,0,0,0,0
450651,medical center of plano,TX,0,1,0,0,0,0,0,0,0,0
450672,plaza medical center of fort worth,TX,0,1,0,0,0,0,0,0,0,0
450775,kingwood medical center,TX,0,1,0,0,0,0,0,0,0,0
460003,salt lake regional medical center,UT,0,1,0,0,0,0,0,0,0,0
490040,inova alexandria hospital,VA,0,1,0,0,0,0,0,0,0,0
490043,inova loudoun hospital,VA,0,1,0,0,0,0,0,0,0,0
490044,sentara obici hospital,VA,0,1,0,0,0,0,0,0,0,0
490046,sentara leigh hospital,VA,0,1,0,0,0,0,0,0,0,0
490053,johnston memorial hospital,VA,0,1,0,0,0,0,0,0,0,0
490057,sentara virginia beach general hospital,VA,0,1,0,0,0,0,0,0,0,0
490063,inova fairfax hospital,VA,0,1,0,0,0,0,0,0,0,0
490066,sentara williamsburg regional medical center,VA,0,1,0,0,0,0,0,0,0,0
490067,southside regional medical center,VA,0,1,0,0,0,0,0,0,0,0
490093,sentara careplex hospital,VA,0,1,0,0,0,0,0,0,0,0
490101,inova fair oaks hospital,VA,0,1,0,0,0,0,0,0,0,0
490119,sentara princess anne hospital,VA,0,1,0,0,0,0,0,0,0,0
490122,inova mount vernon hospital,VA,0,1,0,0,0,0,0,0,0,0
510055,cabell huntington hospital inc,WV,0,1,0,0,0,0,0,0,0,0
520089,unitypoint health - meriter,WI,0,1,0,0,0,0,0,0,0,0
530014,cheyenne regional medical center,WY,0,1,0,0,0,0,0,0,0,0
